"PATH_NAME","FILE_NAME","IMAGE_OBSERVATION_TYPE","FRAME_ID","FILTER_NAME","FILTER_NUMBER","PLANET_DAY_NUMBER","SURFACE_BASED_INST_AZIMUTH","SURFACE_BASED_INST_ELEVATION","BROWSE"
"mars/seq0166/c1247xxx/    ","i462210r.img","REGULAR     ","RIGHT    ","L440_R440     ","0","0009","124.7420","-31.2089","https://planetarydata.jpl.nasa.gov/img/data/mpf/imp/mpim_0001/browse/mars/seq0166/c1247xxx/i462210r.jpg"
"mars/seq0166/c1247xxx/    ","i462509r.img","REGULAR     ","RIGHT    ","L440_R440     ","0","0009","113.5080","-31.9166","https://planetarydata.jpl.nasa.gov/img/data/mpf/imp/mpim_0001/browse/mars/seq0166/c1247xxx/i462509r.jpg"
"mars/seq0166/c1247xxx/    ","i462809r.img","REGULAR     ","RIGHT    ","L440_R440     ","0","0009","102.1850","-32.5499","https://planetarydata.jpl.nasa.gov/img/data/mpf/imp/mpim_0001/browse/mars/seq0166/c1247xxx/i462809r.jpg"
"mars/seq0166/c1247xxx/    ","i463109r.img","REGULAR     ","RIGHT    ","L440_R440     ","0","0009","90.7818","-33.0834","https://planetarydata.jpl.nasa.gov/img/data/mpf/imp/mpim_0001/browse/mars/seq0166/c1247xxx/i463109r.jpg"
"mars/seq0166/c1247xxx/    ","i463414r.img","REGULAR     ","RIGHT    ","L440_R440     ","0","0009","79.3093","-33.4955","https://planetarydata.jpl.nasa.gov/img/data/mpf/imp/mpim_0001/browse/mars/seq0166/c1247xxx/i463414r.jpg"
"mars/seq0166/c1247xxx/    ","i463714r.img","REGULAR     ","RIGHT    ","L440_R440     ","0","0009","67.7853","-33.7689","https://planetarydata.jpl.nasa.gov/img/data/mpf/imp/mpim_0001/browse/mars/seq0166/c1247xxx/i463714r.jpg"
"mars/seq0166/c1247xxx/    ","i464013r.img","REGULAR     ","RIGHT    ","L440_R440     ","0","0009","56.2308","-33.8921","https://planetarydata.jpl.nasa.gov/img/data/mpf/imp/mpim_0001/browse/mars/seq0166/c1247xxx/i464013r.jpg"
"mars/seq0166/c1247xxx/    ","i464309r.img","REGULAR     ","RIGHT    ","L440_R440     ","0","0009","44.6693","-33.8600","https://planetarydata.jpl.nasa.gov/img/data/mpf/imp/mpim_0001/browse/mars/seq0166/c1247xxx/i464309r.jpg"
"mars/seq0166/c1247xxx/    ","i464609r.img","REGULAR     ","RIGHT    ","L440_R440     ","0","0009","33.1247","-33.6739","https://planetarydata.jpl.nasa.gov/img/data/mpf/imp/mpim_0001/browse/mars/seq0166/c1247xxx/i464609r.jpg"
"mars/seq0166/c1247xxx/    ","i464904r.img","REGULAR     ","RIGHT    ","L440_R440     ","0","0009","21.6196","-33.3416","https://planetarydata.jpl.nasa.gov/img/data/mpf/imp/mpim_0001/browse/mars/seq0166/c1247xxx/i464904r.jpg"
"mars/seq0166/c1247xxx/    ","i465196r.img","REGULAR     ","RIGHT    ","L440_R440     ","0","0009","10.1736","-32.8772","https://planetarydata.jpl.nasa.gov/img/data/mpf/imp/mpim_0001/browse/mars/seq0166/c1247xxx/i465196r.jpg"
"mars/seq0164/c1247xxx/    ","i555159r.img","REGULAR     ","RIGHT    ","L440_R440     ","0","0010","4.2467","-32.5894","https://planetarydata.jpl.nasa.gov/img/data/mpf/imp/mpim_0001/browse/mars/seq0164/c1247xxx/i555159r.jpg"
"mars/seq0164/c1247xxx/    ","i555525r.img","REGULAR     ","RIGHT    ","L440_R440     ","0","0010","352.9180","-31.9622","https://planetarydata.jpl.nasa.gov/img/data/mpf/imp/mpim_0001/browse/mars/seq0164/c1247xxx/i555525r.jpg"
"mars/seq0164/c1247xxx/    ","i555890r.img","REGULAR     ","RIGHT    ","L440_R440     ","0","0010","341.6780","-31.2586","https://planetarydata.jpl.nasa.gov/img/data/mpf/imp/mpim_0001/browse/mars/seq0164/c1247xxx/i555890r.jpg"
"mars/seq0164/c1247xxx/    ","i556253r.img","REGULAR     ","RIGHT    ","L440_R440     ","0","0010","330.5290","-30.5064","https://planetarydata.jpl.nasa.gov/img/data/mpf/imp/mpim_0001/browse/mars/seq0164/c1247xxx/i556253r.jpg"
"mars/seq0164/c1247xxx/    ","i556617r.img","REGULAR     ","RIGHT    ","L440_R440     ","0","0010","319.4690","-29.7340","https://planetarydata.jpl.nasa.gov/img/data/mpf/imp/mpim_0001/browse/mars/seq0164/c1247xxx/i556617r.jpg"
"mars/seq0164/c1247xxx/    ","i556979r.img","REGULAR     ","RIGHT    ","L440_R440     ","0","0010","308.4930","-28.9703","https://planetarydata.jpl.nasa.gov/img/data/mpf/imp/mpim_0001/browse/mars/seq0164/c1247xxx/i556979r.jpg"
"mars/seq0164/c1247xxx/    ","i557343r.img","REGULAR     ","RIGHT    ","L440_R440     ","0","0010","297.5920","-28.2430","https://planetarydata.jpl.nasa.gov/img/data/mpf/imp/mpim_0001/browse/mars/seq0164/c1247xxx/i557343r.jpg"
"mars/seq0164/c1247xxx/    ","i557705r.img","REGULAR     ","RIGHT    ","L440_R440     ","0","0010","286.7580","-27.5781","https://planetarydata.jpl.nasa.gov/img/data/mpf/imp/mpim_0001/browse/mars/seq0164/c1247xxx/i557705r.jpg"
"mars/seq0164/c1247xxx/    ","i558068r.img","REGULAR     ","RIGHT    ","L440_R440     ","0","0010","275.9790","-26.9989","https://planetarydata.jpl.nasa.gov/img/data/mpf/imp/mpim_0001/browse/mars/seq0164/c1247xxx/i558068r.jpg"
"mars/seq0164/c1247xxx/    ","i558427r.img","REGULAR     ","RIGHT    ","L440_R440     ","0","0010","265.2440","-26.5254","https://planetarydata.jpl.nasa.gov/img/data/mpf/imp/mpim_0001/browse/mars/seq0164/c1247xxx/i558427r.jpg"
"mars/seq0165/c1247xxx/    ","i648293r.img","REGULAR     ","RIGHT    ","L440_R440     ","0","0011","243.8620","-25.9559","https://planetarydata.jpl.nasa.gov/img/data/mpf/imp/mpim_0001/browse/mars/seq0165/c1247xxx/i648293r.jpg"
