"PATH_NAME","FILE_NAME","IMAGE_OBSERVATION_TYPE","FRAME_ID","FILTER_NAME","FILTER_NUMBER","PLANET_DAY_NUMBER","SURFACE_BASED_INST_AZIMUTH","SURFACE_BASED_INST_ELEVATION","BROWSE"
"mars/seq0166/c1247xxx/    ","i462100r.img","REGULAR     ","RIGHT    ","L440_R440     ","0","0009","122.9540","-7.4671","https://planetarydata.jpl.nasa.gov/img/data/mpf/imp/mpim_0001/browse/mars/seq0166/c1247xxx/i462100r.jpg"
"mars/seq0166/c1247xxx/    ","i462394r.img","REGULAR     ","RIGHT    ","L440_R440     ","0","0009","111.8650","-8.1652","https://planetarydata.jpl.nasa.gov/img/data/mpf/imp/mpim_0001/browse/mars/seq0166/c1247xxx/i462394r.jpg"
"mars/seq0166/c1247xxx/    ","i462694r.img","REGULAR     ","RIGHT    ","L440_R440     ","0","0009","100.7530","-8.7864","https://planetarydata.jpl.nasa.gov/img/data/mpf/imp/mpim_0001/browse/mars/seq0166/c1247xxx/i462694r.jpg"
"mars/seq0166/c1247xxx/    ","i462994r.img","REGULAR     ","RIGHT    ","L440_R440     ","0","0009","89.6195","-9.3071","https://planetarydata.jpl.nasa.gov/img/data/mpf/imp/mpim_0001/browse/mars/seq0166/c1247xxx/i462994r.jpg"
"mars/seq0166/c1247xxx/    ","i463294r.img","REGULAR     ","RIGHT    ","L440_R440     ","0","0009","78.4657","-9.7076","https://planetarydata.jpl.nasa.gov/img/data/mpf/imp/mpim_0001/browse/mars/seq0166/c1247xxx/i463294r.jpg"
"mars/seq0166/c1247xxx/    ","i463594r.img","REGULAR     ","RIGHT    ","L440_R440     ","0","0009","67.2967","-9.9726","https://planetarydata.jpl.nasa.gov/img/data/mpf/imp/mpim_0001/browse/mars/seq0166/c1247xxx/i463594r.jpg"
"mars/seq0166/c1247xxx/    ","i463894r.img","REGULAR     ","RIGHT    ","L440_R440     ","0","0009","56.1185","-10.0919","https://planetarydata.jpl.nasa.gov/img/data/mpf/imp/mpim_0001/browse/mars/seq0166/c1247xxx/i463894r.jpg"
"mars/seq0166/c1247xxx/    ","i464194r.img","REGULAR     ","RIGHT    ","L440_R440     ","0","0009","44.9382","-10.0608","https://planetarydata.jpl.nasa.gov/img/data/mpf/imp/mpim_0001/browse/mars/seq0166/c1247xxx/i464194r.jpg"
"mars/seq0166/c1247xxx/    ","i464494r.img","REGULAR     ","RIGHT    ","L440_R440     ","0","0009","33.7630","-9.8806","https://planetarydata.jpl.nasa.gov/img/data/mpf/imp/mpim_0001/browse/mars/seq0166/c1247xxx/i464494r.jpg"
"mars/seq0166/c1247xxx/    ","i464792r.img","REGULAR     ","RIGHT    ","L440_R440     ","0","0009","22.5996","-9.5583","https://planetarydata.jpl.nasa.gov/img/data/mpf/imp/mpim_0001/browse/mars/seq0166/c1247xxx/i464792r.jpg"
"mars/seq0166/c1247xxx/    ","i465084r.img","REGULAR     ","RIGHT    ","L440_R440     ","0","0009","11.4535","-9.1061","https://planetarydata.jpl.nasa.gov/img/data/mpf/imp/mpim_0001/browse/mars/seq0166/c1247xxx/i465084r.jpg"
"mars/seq0164/c1247xxx/    ","i555014r.img","REGULAR     ","RIGHT    ","L440_R440     ","0","0010","5.6621","-8.8250","https://planetarydata.jpl.nasa.gov/img/data/mpf/imp/mpim_0001/browse/mars/seq0164/c1247xxx/i555014r.jpg"
"mars/seq0164/c1247xxx/    ","i555385r.img","REGULAR     ","RIGHT    ","L440_R440     ","0","0010","354.5490","-8.2100","https://planetarydata.jpl.nasa.gov/img/data/mpf/imp/mpim_0001/browse/mars/seq0164/c1247xxx/i555385r.jpg"
"mars/seq0164/c1247xxx/    ","i555747r.img","REGULAR     ","RIGHT    ","L440_R440     ","0","0010","343.4590","-7.5163","https://planetarydata.jpl.nasa.gov/img/data/mpf/imp/mpim_0001/browse/mars/seq0164/c1247xxx/i555747r.jpg"
"mars/seq0164/c1247xxx/    ","i556110r.img","REGULAR     ","RIGHT    ","L440_R440     ","0","0010","332.3910","-6.7701","https://planetarydata.jpl.nasa.gov/img/data/mpf/imp/mpim_0001/browse/mars/seq0164/c1247xxx/i556110r.jpg"
"mars/seq0164/c1247xxx/    ","i556473r.img","REGULAR     ","RIGHT    ","L440_R440     ","0","0010","321.3410","-5.9991","https://planetarydata.jpl.nasa.gov/img/data/mpf/imp/mpim_0001/browse/mars/seq0164/c1247xxx/i556473r.jpg"
"mars/seq0164/c1247xxx/    ","i556836r.img","REGULAR     ","RIGHT    ","L440_R440     ","0","0010","310.3080","-5.2319","https://planetarydata.jpl.nasa.gov/img/data/mpf/imp/mpim_0001/browse/mars/seq0164/c1247xxx/i556836r.jpg"
