"PATH_NAME","FILE_NAME","IMAGE_OBSERVATION_TYPE","FRAME_ID","FILTER_NAME","FILTER_NUMBER","PLANET_DAY_NUMBER","SURFACE_BASED_INST_AZIMUTH","SURFACE_BASED_INST_ELEVATION","BROWSE"
"mars/seq0166/c1247xxx/    ","i462269r.img","REGULAR     ","RIGHT    ","L440_R440     ","0","0009","126.0160","-43.3441","https://planetarydata.jpl.nasa.gov/img/data/mpf/imp/mpim_0001/browse/mars/seq0166/c1247xxx/i462269r.jpg"
"mars/seq0166/c1247xxx/    ","i462569r.img","REGULAR     ","RIGHT    ","L440_R440     ","0","0009","114.6910","-44.0583","https://planetarydata.jpl.nasa.gov/img/data/mpf/imp/mpim_0001/browse/mars/seq0166/c1247xxx/i462569r.jpg"
"mars/seq0166/c1247xxx/    ","i462869r.img","REGULAR     ","RIGHT    ","L440_R440     ","0","0009","103.2260","-44.7000","https://planetarydata.jpl.nasa.gov/img/data/mpf/imp/mpim_0001/browse/mars/seq0166/c1247xxx/i462869r.jpg"
"mars/seq0166/c1247xxx/    ","i463169r.img","REGULAR     ","RIGHT    ","L440_R440     ","0","0009","91.6332","-45.2427","https://planetarydata.jpl.nasa.gov/img/data/mpf/imp/mpim_0001/browse/mars/seq0166/c1247xxx/i463169r.jpg"
"mars/seq0166/c1247xxx/    ","i463469r.img","REGULAR     ","RIGHT    ","L440_R440     ","0","0009","79.9312","-45.6631","https://planetarydata.jpl.nasa.gov/img/data/mpf/imp/mpim_0001/browse/mars/seq0166/c1247xxx/i463469r.jpg"
"mars/seq0166/c1247xxx/    ","i463769r.img","REGULAR     ","RIGHT    ","L440_R440     ","0","0009","68.1470","-45.9427","https://planetarydata.jpl.nasa.gov/img/data/mpf/imp/mpim_0001/browse/mars/seq0166/c1247xxx/i463769r.jpg"
"mars/seq0166/c1247xxx/    ","i464069r.img","REGULAR     ","RIGHT    ","L440_R440     ","0","0009","56.3142","-46.0690","https://planetarydata.jpl.nasa.gov/img/data/mpf/imp/mpim_0001/browse/mars/seq0166/c1247xxx/i464069r.jpg"
"mars/seq0166/c1247xxx/    ","i464369r.img","REGULAR     ","RIGHT    ","L440_R440     ","0","0009","44.4700","-46.0361","https://planetarydata.jpl.nasa.gov/img/data/mpf/imp/mpim_0001/browse/mars/seq0166/c1247xxx/i464369r.jpg"
"mars/seq0166/c1247xxx/    ","i464666r.img","REGULAR     ","RIGHT    ","L440_R440     ","0","0009","32.6528","-45.8456","https://planetarydata.jpl.nasa.gov/img/data/mpf/imp/mpim_0001/browse/mars/seq0166/c1247xxx/i464666r.jpg"
"mars/seq0166/c1247xxx/    ","i464957r.img","REGULAR     ","RIGHT    ","L440_R440     ","0","0009","20.8988","-45.5061","https://planetarydata.jpl.nasa.gov/img/data/mpf/imp/mpim_0001/browse/mars/seq0166/c1247xxx/i464957r.jpg"
"mars/seq0166/c1247xxx/    ","i465249r.img","REGULAR     ","RIGHT    ","L440_R440     ","0","0009","9.2389","-45.0327","https://planetarydata.jpl.nasa.gov/img/data/mpf/imp/mpim_0001/browse/mars/seq0166/c1247xxx/i465249r.jpg"
"mars/seq0164/c1247xxx/    ","i555232r.img","REGULAR     ","RIGHT    ","L440_R440     ","0","0010","3.2174","-44.7402","https://planetarydata.jpl.nasa.gov/img/data/mpf/imp/mpim_0001/browse/mars/seq0164/c1247xxx/i555232r.jpg"
"mars/seq0164/c1247xxx/    ","i555596r.img","REGULAR     ","RIGHT    ","L440_R440     ","0","0010","351.7440","-44.1043","https://planetarydata.jpl.nasa.gov/img/data/mpf/imp/mpim_0001/browse/mars/seq0164/c1247xxx/i555596r.jpg"
"mars/seq0164/c1247xxx/    ","i555958r.img","REGULAR     ","RIGHT    ","L440_R440     ","0","0010","340.4090","-43.3942","https://planetarydata.jpl.nasa.gov/img/data/mpf/imp/mpim_0001/browse/mars/seq0164/c1247xxx/i555958r.jpg"
"mars/seq0164/c1247xxx/    ","i556322r.img","REGULAR     ","RIGHT    ","L440_R440     ","0","0010","329.2160","-42.6381","https://planetarydata.jpl.nasa.gov/img/data/mpf/imp/mpim_0001/browse/mars/seq0164/c1247xxx/i556322r.jpg"
"mars/seq0164/c1247xxx/    ","i556685r.img","REGULAR     ","RIGHT    ","L440_R440     ","0","0010","318.1620","-41.8652","https://planetarydata.jpl.nasa.gov/img/data/mpf/imp/mpim_0001/browse/mars/seq0164/c1247xxx/i556685r.jpg"
"mars/seq0164/c1247xxx/    ","i557046r.img","REGULAR     ","RIGHT    ","L440_R440     ","0","0010","307.2390","-41.1044","https://planetarydata.jpl.nasa.gov/img/data/mpf/imp/mpim_0001/browse/mars/seq0164/c1247xxx/i557046r.jpg"
"mars/seq0164/c1247xxx/    ","i557410r.img","REGULAR     ","RIGHT    ","L440_R440     ","0","0010","296.4350","-40.3828","https://planetarydata.jpl.nasa.gov/img/data/mpf/imp/mpim_0001/browse/mars/seq0164/c1247xxx/i557410r.jpg"
"mars/seq0164/c1247xxx/    ","i557772r.img","REGULAR     ","RIGHT    ","L440_R440     ","0","0010","285.7340","-39.7255","https://planetarydata.jpl.nasa.gov/img/data/mpf/imp/mpim_0001/browse/mars/seq0164/c1247xxx/i557772r.jpg"
"mars/seq0164/c1247xxx/    ","i558135r.img","REGULAR     ","RIGHT    ","L440_R440     ","0","0010","275.1190","-39.1548","https://planetarydata.jpl.nasa.gov/img/data/mpf/imp/mpim_0001/browse/mars/seq0164/c1247xxx/i558135r.jpg"
"mars/seq0164/c1247xxx/    ","i558500r.img","REGULAR     ","RIGHT    ","L440_R440     ","0","0010","264.5750","-38.6894","https://planetarydata.jpl.nasa.gov/img/data/mpf/imp/mpim_0001/browse/mars/seq0164/c1247xxx/i558500r.jpg"
"mars/seq0165/c1247xxx/    ","i648365r.img","REGULAR     ","RIGHT    ","L440_R440     ","0","0011","243.6250","-38.1313","https://planetarydata.jpl.nasa.gov/img/data/mpf/imp/mpim_0001/browse/mars/seq0165/c1247xxx/i648365r.jpg"
"mars/seq0165/c1247xxx/    ","i648729r.img","REGULAR     ","RIGHT    ","L440_R440     ","0","0011","233.1850","-38.0562","https://planetarydata.jpl.nasa.gov/img/data/mpf/imp/mpim_0001/browse/mars/seq0165/c1247xxx/i648729r.jpg"
"mars/seq0165/c1247xxx/    ","i649093r.img","REGULAR     ","RIGHT    ","L440_R440     ","0","0011","222.7450","-38.1218","https://planetarydata.jpl.nasa.gov/img/data/mpf/imp/mpim_0001/browse/mars/seq0165/c1247xxx/i649093r.jpg"
"mars/seq0165/c1247xxx/    ","i649458r.img","REGULAR     ","RIGHT    ","L440_R440     ","0","0011","212.2890","-38.3259","https://planetarydata.jpl.nasa.gov/img/data/mpf/imp/mpim_0001/browse/mars/seq0165/c1247xxx/i649458r.jpg"
"mars/seq0165/c1247xxx/    ","i649820r.img","REGULAR     ","RIGHT    ","L440_R440     ","0","0011","201.8000","-38.6621","https://planetarydata.jpl.nasa.gov/img/data/mpf/imp/mpim_0001/browse/mars/seq0165/c1247xxx/i649820r.jpg"
"mars/seq0165/c1247xxx/    ","i650183r.img","REGULAR     ","RIGHT    ","L440_R440     ","0","0011","191.2590","-39.1197","https://planetarydata.jpl.nasa.gov/img/data/mpf/imp/mpim_0001/browse/mars/seq0165/c1247xxx/i650183r.jpg"
"mars/seq0165/c1247xxx/    ","i650548r.img","REGULAR     ","RIGHT    ","L440_R440     ","0","0011","180.6500","-39.6839","https://planetarydata.jpl.nasa.gov/img/data/mpf/imp/mpim_0001/browse/mars/seq0165/c1247xxx/i650548r.jpg"
"mars/seq0165/c1247xxx/    ","i650914r.img","REGULAR     ","RIGHT    ","L440_R440     ","0","0011","169.9550","-40.3360","https://planetarydata.jpl.nasa.gov/img/data/mpf/imp/mpim_0001/browse/mars/seq0165/c1247xxx/i650914r.jpg"
"mars/seq0165/c1247xxx/    ","i651278r.img","REGULAR     ","RIGHT    ","L440_R440     ","0","0011","159.1580","-41.0540","https://planetarydata.jpl.nasa.gov/img/data/mpf/imp/mpim_0001/browse/mars/seq0165/c1247xxx/i651278r.jpg"
"mars/seq0165/c1247xxx/    ","i651738r.img","REGULAR     ","RIGHT    ","L440_R440     ","0","0011","148.2440","-41.8130","https://planetarydata.jpl.nasa.gov/img/data/mpf/imp/mpim_0001/browse/mars/seq0165/c1247xxx/i651738r.jpg"
"mars/seq0165/c1247xxx/    ","i652034r.img","REGULAR     ","RIGHT    ","L440_R440     ","0","0011","137.1990","-42.5859","https://planetarydata.jpl.nasa.gov/img/data/mpf/imp/mpim_0001/browse/mars/seq0165/c1247xxx/i652034r.jpg"
