"PATH_NAME","FILE_NAME","IMAGE_OBSERVATION_TYPE","FRAME_ID","FILTER_NAME","FILTER_NUMBER","PLANET_DAY_NUMBER","SURFACE_BASED_INST_AZIMUTH","SURFACE_BASED_INST_ELEVATION","BROWSE"
"mars/seq0166/c1247xxx/    ","i462157r.img","REGULAR     ","RIGHT    ","L440_R440     ","0","0009","123.8020","-19.6163","https://planetarydata.jpl.nasa.gov/img/data/mpf/imp/mpim_0001/browse/mars/seq0166/c1247xxx/i462157r.jpg"
"mars/seq0166/c1247xxx/    ","i462454r.img","REGULAR     ","RIGHT    ","L440_R440     ","0","0009","112.6420","-20.3190","https://planetarydata.jpl.nasa.gov/img/data/mpf/imp/mpim_0001/browse/mars/seq0166/c1247xxx/i462454r.jpg"
"mars/seq0166/c1247xxx/    ","i462754r.img","REGULAR     ","RIGHT    ","L440_R440     ","0","0009","101.4290","-20.9459","https://planetarydata.jpl.nasa.gov/img/data/mpf/imp/mpim_0001/browse/mars/seq0166/c1247xxx/i462754r.jpg"
"mars/seq0166/c1247xxx/    ","i463054r.img","REGULAR     ","RIGHT    ","L440_R440     ","0","0009","90.1664","-21.4727","https://planetarydata.jpl.nasa.gov/img/data/mpf/imp/mpim_0001/browse/mars/seq0166/c1247xxx/i463054r.jpg"
"mars/seq0166/c1247xxx/    ","i463354r.img","REGULAR     ","RIGHT    ","L440_R440     ","0","0009","78.8619","-21.8787","https://planetarydata.jpl.nasa.gov/img/data/mpf/imp/mpim_0001/browse/mars/seq0166/c1247xxx/i463354r.jpg"
"mars/seq0166/c1247xxx/    ","i463654r.img","REGULAR     ","RIGHT    ","L440_R440     ","0","0009","67.5259","-22.1476","https://planetarydata.jpl.nasa.gov/img/data/mpf/imp/mpim_0001/browse/mars/seq0166/c1247xxx/i463654r.jpg"
"mars/seq0166/c1247xxx/    ","i463954r.img","REGULAR     ","RIGHT    ","L440_R440     ","0","0009","56.1712","-22.2688","https://planetarydata.jpl.nasa.gov/img/data/mpf/imp/mpim_0001/browse/mars/seq0166/c1247xxx/i463954r.jpg"
"mars/seq0166/c1247xxx/    ","i464254r.img","REGULAR     ","RIGHT    ","L440_R440     ","0","0009","44.8121","-22.2372","https://planetarydata.jpl.nasa.gov/img/data/mpf/imp/mpim_0001/browse/mars/seq0166/c1247xxx/i464254r.jpg"
"mars/seq0166/c1247xxx/    ","i464554r.img","REGULAR     ","RIGHT    ","L440_R440     ","0","0009","33.4634","-22.0542","https://planetarydata.jpl.nasa.gov/img/data/mpf/imp/mpim_0001/browse/mars/seq0166/c1247xxx/i464554r.jpg"
"mars/seq0166/c1247xxx/    ","i464852r.img","REGULAR     ","RIGHT    ","L440_R440     ","0","0009","22.1390","-21.7272","https://planetarydata.jpl.nasa.gov/img/data/mpf/imp/mpim_0001/browse/mars/seq0166/c1247xxx/i464852r.jpg"
"mars/seq0166/c1247xxx/    ","i465144r.img","REGULAR     ","RIGHT    ","L440_R440     ","0","0009","10.8506","-21.2692","https://planetarydata.jpl.nasa.gov/img/data/mpf/imp/mpim_0001/browse/mars/seq0166/c1247xxx/i465144r.jpg"
"mars/seq0164/c1247xxx/    ","i555090r.img","REGULAR     ","RIGHT    ","L440_R440     ","0","0010","4.9945","-20.9850","https://planetarydata.jpl.nasa.gov/img/data/mpf/imp/mpim_0001/browse/mars/seq0164/c1247xxx/i555090r.jpg"
"mars/seq0164/c1247xxx/    ","i555457r.img","REGULAR     ","RIGHT    ","L440_R440     ","0","0010","353.7780","-20.3641","https://planetarydata.jpl.nasa.gov/img/data/mpf/imp/mpim_0001/browse/mars/seq0164/c1247xxx/i555457r.jpg"
"mars/seq0164/c1247xxx/    ","i555820r.img","REGULAR     ","RIGHT    ","L440_R440     ","0","0010","342.6140","-19.6657","https://planetarydata.jpl.nasa.gov/img/data/mpf/imp/mpim_0001/browse/mars/seq0164/c1247xxx/i555820r.jpg"
"mars/seq0164/c1247xxx/    ","i556182r.img","REGULAR     ","RIGHT    ","L440_R440     ","0","0010","331.5050","-18.9165","https://planetarydata.jpl.nasa.gov/img/data/mpf/imp/mpim_0001/browse/mars/seq0164/c1247xxx/i556182r.jpg"
"mars/seq0164/c1247xxx/    ","i556546r.img","REGULAR     ","RIGHT    ","L440_R440     ","0","0010","320.4470","-18.1448","https://planetarydata.jpl.nasa.gov/img/data/mpf/imp/mpim_0001/browse/mars/seq0164/c1247xxx/i556546r.jpg"
"mars/seq0164/c1247xxx/    ","i556907r.img","REGULAR     ","RIGHT    ","L440_R440     ","0","0010","309.4380","-17.3792","https://planetarydata.jpl.nasa.gov/img/data/mpf/imp/mpim_0001/browse/mars/seq0164/c1247xxx/i556907r.jpg"
"mars/seq0164/c1247xxx/    ","i557272r.img","REGULAR     ","RIGHT    ","L440_R440     ","0","0010","298.4720","-16.6478","https://planetarydata.jpl.nasa.gov/img/data/mpf/imp/mpim_0001/browse/mars/seq0164/c1247xxx/i557272r.jpg"
"mars/seq0164/c1247xxx/    ","i557633r.img","REGULAR     ","RIGHT    ","L440_R440     ","0","0010","287.5410","-15.9773","https://planetarydata.jpl.nasa.gov/img/data/mpf/imp/mpim_0001/browse/mars/seq0164/c1247xxx/i557633r.jpg"
"mars/seq0164/c1247xxx/    ","i557996r.img","REGULAR     ","RIGHT    ","L440_R440     ","0","0010","276.6400","-15.3917","https://planetarydata.jpl.nasa.gov/img/data/mpf/imp/mpim_0001/browse/mars/seq0164/c1247xxx/i557996r.jpg"
"mars/seq0164/c1247xxx/    ","i558359r.img","REGULAR     ","RIGHT    ","L440_R440     ","0","0010","265.7610","-14.9119","https://planetarydata.jpl.nasa.gov/img/data/mpf/imp/mpim_0001/browse/mars/seq0164/c1247xxx/i558359r.jpg"
"mars/seq0164/c1247xxx/    ","i558721r.img","REGULAR     ","RIGHT    ","L440_R440     ","0","0010","254.8980","-14.5550","https://planetarydata.jpl.nasa.gov/img/data/mpf/imp/mpim_0001/browse/mars/seq0164/c1247xxx/i558721r.jpg"
"mars/seq0165/c1247xxx/    ","i648225r.img","REGULAR     ","RIGHT    ","L440_R440     ","0","0011","244.0460","-14.3337","https://planetarydata.jpl.nasa.gov/img/data/mpf/imp/mpim_0001/browse/mars/seq0165/c1247xxx/i648225r.jpg"
"mars/seq0165/c1247xxx/    ","i648587r.img","REGULAR     ","RIGHT    ","L440_R440     ","0","0011","233.1980","-14.2557","https://planetarydata.jpl.nasa.gov/img/data/mpf/imp/mpim_0001/browse/mars/seq0165/c1247xxx/i648587r.jpg"
"mars/seq0165/c1247xxx/    ","i648953r.img","REGULAR     ","RIGHT    ","L440_R440     ","0","0011","222.3510","-14.3238","https://planetarydata.jpl.nasa.gov/img/data/mpf/imp/mpim_0001/browse/mars/seq0165/c1247xxx/i648953r.jpg"
"mars/seq0165/c1247xxx/    ","i649317r.img","REGULAR     ","RIGHT    ","L440_R440     ","0","0011","211.5000","-14.5356","https://planetarydata.jpl.nasa.gov/img/data/mpf/imp/mpim_0001/browse/mars/seq0165/c1247xxx/i649317r.jpg"
"mars/seq0165/c1247xxx/    ","i649681r.img","REGULAR     ","RIGHT    ","L440_R440     ","0","0011","200.6380","-14.8837","https://planetarydata.jpl.nasa.gov/img/data/mpf/imp/mpim_0001/browse/mars/seq0165/c1247xxx/i649681r.jpg"
"mars/seq0165/c1247xxx/    ","i650044r.img","REGULAR     ","RIGHT    ","L440_R440     ","0","0011","189.7600","-15.3556","https://planetarydata.jpl.nasa.gov/img/data/mpf/imp/mpim_0001/browse/mars/seq0165/c1247xxx/i650044r.jpg"
"mars/seq0165/c1247xxx/    ","i650408r.img","REGULAR     ","RIGHT    ","L440_R440     ","0","0011","178.8600","-15.9347","https://planetarydata.jpl.nasa.gov/img/data/mpf/imp/mpim_0001/browse/mars/seq0165/c1247xxx/i650408r.jpg"
"mars/seq0165/c1247xxx/    ","i650773r.img","REGULAR     ","RIGHT    ","L440_R440     ","0","0011","167.9320","-16.6002","https://planetarydata.jpl.nasa.gov/img/data/mpf/imp/mpim_0001/browse/mars/seq0165/c1247xxx/i650773r.jpg"
"mars/seq0165/c1247xxx/    ","i651137r.img","REGULAR     ","RIGHT    ","L440_R440     ","0","0011","156.9680","-17.3283","https://planetarydata.jpl.nasa.gov/img/data/mpf/imp/mpim_0001/browse/mars/seq0165/c1247xxx/i651137r.jpg"
"mars/seq0165/c1247xxx/    ","i651605r.img","REGULAR     ","RIGHT    ","L440_R440     ","0","0011","145.9620","-18.0924","https://planetarydata.jpl.nasa.gov/img/data/mpf/imp/mpim_0001/browse/mars/seq0165/c1247xxx/i651605r.jpg"
"mars/seq0165/c1247xxx/    ","i651926r.img","REGULAR     ","RIGHT    ","L440_R440     ","0","0011","134.9080","-18.8646","https://planetarydata.jpl.nasa.gov/img/data/mpf/imp/mpim_0001/browse/mars/seq0165/c1247xxx/i651926r.jpg"
